Age,Employment,RemoteWork,CodingActivities,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Country,ConvertedCompYearly,LearnCodeCoursesCert,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith
25-34 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,9.0,"Senior Executive (C-Suite, VP, etc.)",2 to 9 employees,United States of America,285000.0,Other,HTML/CSS;JavaScript;Python,Supabase,Amazon Web Services (AWS);Netlify;Vercel
45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27.0,23.0,"Developer, back-end","5,000 to 9,999 employees",United States of America,250000.0,None,Bash/Shell (all shells);Go,None,Amazon Web Services (AWS);Google Cloud;OpenStack;VMware;Vultr
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,7.0,"Developer, front-end",100 to 499 employees,United States of America,156000.0,None,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,PostgreSQL;Redis,Cloudflare;Heroku
25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,4.0,"Developer, full-stack",20 to 99 employees,Philippines,23456.0,Other;Codecademy;edX,HTML/CSS;JavaScript;TypeScript,BigQuery;Elasticsearch;MongoDB;PostgreSQL,Amazon Web Services (AWS);Firebase;Heroku;Netlify;Vercel
35-44 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,21.0,21.0,"Developer, back-end",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,96828.0,Other,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL;TypeScript,BigQuery;Cloud Firestore;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud
35-44 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,4.0,3.0,"Developer, full-stack","1,000 to 4,999 employees",United States of America,135000.0,Udemy,Ada;Clojure;Elixir;Go;HTML/CSS;Java;JavaScript;Lisp;OCaml;Raku;Ruby;Scala;Swift;TypeScript;Zig,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean
25-34 years old,"Employed, full-time",Remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,3.0,"Developer, full-stack",10 to 19 employees,United States of America,80000.0,Codecademy;edX,Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Dynamodb;MongoDB;MySQL;Redis;SQLite,Amazon Web Services (AWS);Fly.io;Netlify;Vercel
45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,15.0,System administrator,100 to 499 employees,Finland,64254.0,Udemy;Pluralsight,C#;JavaScript;PowerShell;Ruby;TypeScript,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Digital Ocean;Microsoft Azure;Netlify
25-34 years old,"Employed, full-time",Remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,9.0,"Developer, full-stack",100 to 499 employees,Australia,78003.0,None,C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;MySQL;Redis,Digital Ocean;Microsoft Azure;Netlify
25-34 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,9.0,"Developer, full-stack",2 to 9 employees,United States of America,75000.0,Codecademy,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Ruby;Solidity;TypeScript,BigQuery;Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Fly.io;Google Cloud;Heroku;Netlify;Render;Vercel
